C:\Python27\python.exe C:/Users/Elena/PycharmProjects/TVSpeed/data_processing.py
Friday Night Lights , 4 , 124.532769545
Friday Night Lights , average , 123.493694163
No Tomorrow , 1 , 122.051442117
No Tomorrow , average , 122.051442117
The Librarians , 1 , 114.752310817
The Librarians , 3 , 109.94178608
The Librarians , 2 , 122.96904762
The Librarians , average , 115.887714839
Falling Skies , 1 , 94.5485489657
Falling Skies , 3 , 116.855813963
Falling Skies , 2 , 94.735215948
Falling Skies , 5 , 90.519933559
Falling Skies , 4 , 103.12619046
Falling Skies , average , 99.9571405791
Scream Queens , 1 , 138.336937885
Scream Queens , 2 , 127.826625978
Scream Queens , average , 133.081781931
The O.C. , 1 , 159.526691332
The O.C. , 3 , 160.704171067
The O.C. , 2 , 168.3149122
The O.C. , 4 , 135.302750088
The O.C. , average , 155.962131172
Madam Secretary , 1 , 130.5817967
Madam Secretary , 3 , 135.970355223
Madam Secretary , 2 , 130.800398313
Madam Secretary , average , 132.450850079
Salem , 1 , 84.4313540056
Salem , 3 , 76.591274505
Salem , 2 , 84.5224075167
Salem , average , 81.8483453424
Bull , 1 , 139.603735238
Bull , average , 139.603735238
Ray Donovan , 1 , 73.27935097
Ray Donovan , 3 , 79.6373808133
Ray Donovan , 2 , 76.2113390542
Ray Donovan , 4 , 72.9734897909
Ray Donovan , average , 75.5253901571
True Detective , 1 , 88.7163532017
True Detective , 2 , 82.12730992
True Detective , average , 85.4218315608
Agents of S.H.I.E.L.D. , 1 , 100.680217609
Agents of S.H.I.E.L.D. , 3 , 103.235678332
Agents of S.H.I.E.L.D. , 2 , 105.063653951
Agents of S.H.I.E.L.D. , 4 , 105.486776568
Agents of S.H.I.E.L.D. , average , 103.616581615
Hart of Dixie , 1 , 120.167460306
Hart of Dixie , 3 , 125.7619048
Hart of Dixie , 2 , 134.636896635
Hart of Dixie , average , 126.85542058
Backstrom , 1 , 116.831514138
Backstrom , average , 116.831514138
The Vampire Diaries , 1 , 95.2143184285
The Vampire Diaries , 3 , 101.396305163
The Vampire Diaries , 2 , 96.1665265475
The Vampire Diaries , 5 , 105.265055208
The Vampire Diaries , 4 , 104.083462531
The Vampire Diaries , 7 , 113.1349206
The Vampire Diaries , 6 , 126.008709582
The Vampire Diaries , 8 , 109.356213689
The Vampire Diaries , average , 106.328188969
The Last Ship , 1 , 90.3721653663
The Last Ship , 3 , 89.90229068
The Last Ship , 2 , 92.8123800308
The Last Ship , average , 91.028945359
Timeless , 1 , 100.868240127
Timeless , average , 100.868240127
Agent Carter , 1 , 102.801323948
Agent Carter , 2 , 107.531604673
Agent Carter , average , 105.166464311
The Mentalist , 1 , 122.337677995
The Mentalist , 3 , 104.296906452
The Mentalist , 2 , 135.312141292
The Mentalist , 5 , 111.743952572
The Mentalist , 4 , 113.824159498
The Mentalist , 7 , 109.740083629
The Mentalist , 6 , 104.558606574
The Mentalist , average , 114.544789716
Witches of East End , 1 , 107.559457978
Witches of East End , 2 , 95.387842749
Witches of East End , average , 101.473650363
The Carrie Diaries , 1 , 136.714716389
The Carrie Diaries , 2 , 132.11661129
The Carrie Diaries , average , 134.415663839
Sleepy Hollow , 1 , 75.2145866691
Sleepy Hollow , 3 , 86.59158388
Sleepy Hollow , 2 , 90.7029862556
Sleepy Hollow , 4 , 96.9072428029
Sleepy Hollow , average , 87.3540999019
The Leftovers , 1 , 57.4098323056
The Leftovers , 2 , 61.2362883633
The Leftovers , average , 59.3230603344
Legends of Tomorrow , 1 , 110.936589606
Legends of Tomorrow , 2 , 113.502642293
Legends of Tomorrow , average , 112.21961595
Wynonna Earp , 1 , 96.93023256
Wynonna Earp , average , 96.93023256
Heroes Reborn , 1 , 84.079601253
Heroes Reborn , average , 84.079601253
One Tree Hill , 1 , 113.171619349
One Tree Hill , 3 , 118.180907358
One Tree Hill , 2 , 128.073418477
One Tree Hill , average , 119.808648395
CSI: Crime Scene Investigation , 15 , 123.82861157
CSI: Crime Scene Investigation , 1 , 112.424000864
CSI: Crime Scene Investigation , 3 , 112.82261702
CSI: Crime Scene Investigation , 2 , 111.250511728
CSI: Crime Scene Investigation , 5 , 120.337004414
CSI: Crime Scene Investigation , 4 , 112.942480333
CSI: Crime Scene Investigation , 6 , 113.464343436
CSI: Crime Scene Investigation , average , 115.295652766
Battle Creek , 1 , 93.2593406569
Battle Creek , average , 93.2593406569
Outlander , 1 , 71.1914158181
Outlander , 2 , 72.7351886358
Outlander , average , 71.963302227
The Following , 1 , 83.0778724423
The Following , 3 , 88.2380556864
The Following , 2 , 87.240645906
The Following , average , 86.1855246782
The Art of More , 1 , 109.48768499
The Art of More , 2 , 96.616020665
The Art of More , average , 103.051852827
Chasing Life , 1 , 119.306756838
Chasing Life , 2 , 126.757324073
Chasing Life , average , 123.032040455
Motive , 1 , 113.862277248
Motive , 3 , 123.9447968
Motive , 2 , 117.850800364
Motive , 4 , 126.551136367
Motive , average , 120.552252695
Dawson's Creek , 1 , 213.3809524
Dawson's Creek , 3 , 125.629564335
Dawson's Creek , 2 , 117.165456895
Dawson's Creek , 5 , 135.074894296
Dawson's Creek , 4 , 139.176703024
Dawson's Creek , 6 , 139.771024359
Dawson's Creek , average , 145.033099218
Greenleaf , 1 , 102.411519871
Greenleaf , average , 102.411519871
Breaking Bad , 1 , 64.520833335
Breaking Bad , 2 , 67.0482607515
Breaking Bad , average , 65.7845470433
Rectify , 1 , 67.7160701217
Rectify , 3 , 82.4920624083
Rectify , 2 , 77.0533189029
Rectify , 4 , 81.96969697
Rectify , average , 77.3077871007
Finding Carter , 1 , 103.907735184
Finding Carter , 2 , 117.22346399
Finding Carter , average , 110.565599587
Dexter , 1 , 89.858398562
Dexter , 3 , 102.077392022
Dexter , 2 , 87.2034873413
Dexter , average , 93.0464259751
Legends , 1 , 98.695284564
Legends , 2 , 70.672588751
Legends , average , 84.6839366575
Hunters , 1 , 76.1141379885
Hunters , average , 76.1141379885
Paranormal Witness , 1 , 109.5813953
Paranormal Witness , 3 , 78.4237003323
Paranormal Witness , 2 , 98.6845930229
Paranormal Witness , 5 , 73.0833333342
Paranormal Witness , 4 , 77.6117365525
Paranormal Witness , average , 87.4769517084
Cedar Cove , 1 , 118.666666664
Cedar Cove , 3 , 120.5990354
Cedar Cove , 2 , 105.326744193
Cedar Cove , average , 114.864148752
Helix , 1 , 84.9910250262
Helix , 2 , 81.9278654245
Helix , average , 83.4594452254
Saving Hope , 1 , 111.791943826
Saving Hope , 3 , 118.004651169
Saving Hope , 2 , 118.732619667
Saving Hope , 4 , 120.068521581
Saving Hope , average , 117.149434061
Law & Order: Special Victims Unit , 1 , 120.787021724
Law & Order: Special Victims Unit , 3 , 135.94907931
Law & Order: Special Victims Unit , 2 , 130.113854823
Law & Order: Special Victims Unit , average , 128.949985286
Wayward Pines , 1 , 75.0909090925
Wayward Pines , 2 , 73.641762307
Wayward Pines , average , 74.3663356997
Bosch , 2 , 92.68402895
Bosch , average , 92.68402895
Fear the Walking Dead , 1 , 64.614965085
Fear the Walking Dead , 2 , 55.719466036
Fear the Walking Dead , average , 60.1672155605
Perception , 1 , 131.294988925
Perception , 3 , 133.079539587
Perception , 2 , 134.748180679
Perception , average , 133.040903063
The Red Road , 1 , 68.13581467
The Red Road , 2 , 81.299770965
The Red Road , average , 74.7177928175
Black Sails , 1 , 81.0114273337
Black Sails , 3 , 84.429435914
Black Sails , 2 , 89.011807502
Black Sails , 4 , 77.7346311775
Black Sails , average , 83.0468254818
American Gothic , 1 , 98.4443799055
American Gothic , average , 98.4443799055
The Royals , 1 , 92.088912249
The Royals , 3 , 91.7790697583
The Royals , 2 , 87.6212624571
The Royals , average , 90.4964148215
Olympus , 1 , 75.0526206346
Olympus , average , 75.0526206346
Mercy Street , 1 , 96.816678315
Mercy Street , 2 , 99.282051285
Mercy Street , average , 98.0493648
Under the Dome , 1 , 87.91943908
Under the Dome , 3 , 100.249349414
Under the Dome , 2 , 98.563545295
Under the Dome , average , 95.5774445962
Blindspot , 1 , 106.249079591
Blindspot , 2 , 118.278170705
Blindspot , average , 112.263625148
The Knick , 1 , 84.1242597133
The Knick , 2 , 86.3146234071
The Knick , average , 85.2194415602
Pretty Little Liars , 1 , 82.5271072129
Pretty Little Liars , 3 , 97.1705615092
Pretty Little Liars , 2 , 98.3682313611
Pretty Little Liars , 5 , 104.913268891
Pretty Little Liars , 4 , 97.7162475447
Pretty Little Liars , 7 , 90.943089432
Pretty Little Liars , average , 95.2730843252
Charmed , 1 , 126.730158725
Charmed , average , 126.730158725
The Americans , 1 , 79.4310122383
The Americans , 3 , 63.2454593618
The Americans , 2 , 70.7854174118
The Americans , 4 , 57.4142283492
The Americans , average , 67.7190293403
Dark Matter , 2 , 93.3340380536
Dark Matter , average , 93.3340380536
Gossip Girl , 1 , 132.158730158
Gossip Girl , 3 , 121.583959895
Gossip Girl , 2 , 127.93877551
Gossip Girl , 4 , 125.6190476
